13F	022004200
13F	022846201
13F	022846202
13F	022846203
13F	022864200
13F	024001201
13F	024001202
13F	024001203
13F	024001204
13F	024001205
13F	024030200
13F	024210200
13F	024267200
13F	024300200
13F	024306200
13F	024318200
13F	024324200
13F	024390200
13F	024408200
13F	024456200
13F	024492200
13F	024504200
13F	024564200
13F	024600200
13F	024612200
13F	024678200
13F	024750200
13F	024810200
13F	027016200
13F	027016201
13F	027017200
13F	027863200
13F	027869200
13F	028533200
13F	102048200
13F	102048201
13F	102048203
13F	102107200
13F	102107201
13F	102401200
13F	102445200
13F	104030200
13F	104308200
13F	104324200
13F	104326200
13F	104328200
13F	104402200
13F	104690200
13F	104829200
13F	104846200
13F	104846201
13F	104864200
13F	105030200
13F	105420200
13F	105480200
13F	105672200
13F	107714200
13F	111103200
13F	111106200
13F	111110200
13F	111358200
13F	111423200
13F	111436200
13F	111456200
13F	111508200
13F	111516200
13F	111549200
13F	111552200
13F	111580200
13F	111591200
13F	111615200
13F	111649200
13F	111655200
13F	111663200
13F	111676200
13F	111699200
13F	111736200
13F	111805200
13F	111812200
13F	111857201
13F	111857202
13F	111865200
13F	111880200
13F	114090200
13F	118267200
13F	118283200
13F	118285200
13F	118320200
13F	118378200
13F	118530200
13F	118534200
13F	118547200
13F	118566200
13F	118586200
13F	118596200
13F	118612200
13F	118635200
13F	119089200
13F	121121200
13F	121150200
13F	121366200
13F	121372200
13F	121373200
13F	121486200
13F	121498200
13F	121504200
13F	121552200
13F	121661200
13F	121696200
13F	121735200
13F	121786200
13F	121812200
13F	121812203
13F	121814200
13F	122030200
13F	122300300
13F	122307200
13F	122307201
13F	122313200
13F	122852200
13F	123009200
13F	123009210
13F	123012200
13F	123048200
13F	123801200
13F	126004200
13F	126007200
13F	126010200
13F	126013200
13F	126300200
13F	126312200
13F	126330200
13F	126644200
13F	128054200
13F	128300200
13F	128305201
13F	128305202
13F	128305203
13F	128305204
13F	128305205
13F	128305206
13F	128305207
13F	128305208
13F	128354200
13F	128355201
13F	128355202
13F	128355203
13F	128355204
13F	128372200
13F	128432200
13F	128552200
13F	128618200
13F	128720200
13F	128739200
13F	128816200
13F	141027200
13F	141032200
13F	141066200
13F	141069200
13F	141073200
13F	141085200
13F	141307200
13F	141646200
13F	141665200
13F	141678200
13F	141726200
13F	141732200
13F	141738200
13F	142042200
13F	142042220
13F	142042240
13F	142042260
13F	142044200
13F	142045200
13F	142045220
13F	142088200
13F	142091200
13F	142117200
13F	142119200
13F	142140200
13F	142140220
13F	142140240
13F	142142200
13F	142143200
13F	142185200
13F	142187200
13F	142189200
13F	142290201
13F	142290202
13F	142291201
13F	142350200
13F	142350210
13F	142381200
13F	142410200
13F	142413200
13F	142415200
13F	142422200
13F	142465200
13F	142534200
13F	142576200
13F	142637200
13F	142637220
13F	142637240
13F	142638200
13F	142639200
13F	142640200
13F	142641200
13F	142650200
13F	142669200
13F	142725200
13F	142756200
13F	142853200
13F	142854200
13F	142855200
13F	144029200
13F	144267200
13F	144302200
13F	144331200
13F	144444200
13F	144462200
13F	144486200
13F	144495200
13F	144516200
13F	144612200
13F	144648200
13F	144666200
13F	144685200
13F	144696200
13F	144710200
13F	144743200
13F	144750200
13F	144816200
13F	144829200
13F	144829202
13F	144829203
13F	144829204
13F	144846200
13F	144846202
13F	145019200
13F	145306200
13F	145320200
13F	145321200
13F	145330200
13F	145354200
13F	145708200
13F	145810200
13F	148043200
13F	148055200
13F	148267200
13F	148427200
13F	148660200
13F	148714200
13F	148810200
13F	148840200
13F	149005200
13F	149061200
13F	149341200
13F	149371200
13F	150011200
13F	150011210
13F	150011220
13F	150060200
13F	150340200
13F	150370200
13F	152008200
13F	152010200
13F	152018201
13F	152018202
13F	152018204
13F	152018205
13F	152018206
13F	152019201
13F	152019202
13F	152019204
13F	152019205
13F	152019206
13F	152301200
13F	152846200
13F	152846202
13F	152846203
13F	152846204
13F	152846205
13F	152846206
13F	157050200
13F	157050210
13F	157050220
13F	157051200
13F	157102200
13F	157166200
13F	173008200
13F	178006200
13F	178017200
13F	178048200
13F	178055200
13F	178090200
13F	178153200
13F	178213200
13F	178320200
13F	178342200
13F	178506200
13F	178600200
13F	178600201
13F	178630200
13F	178842200
13F	180004200
13F	180008200
13F	180052200
13F	180052220
13F	180123200
13F	180123220
13F	180318200
13F	180335200
13F	180335201
13F	180341200
13F	180341210
13F	180343200
13F	180346200
13F	180364200
13F	180374200
13F	180419200
13F	180428200
13F	180480201
13F	180481210
13F	180522200
13F	180541200
13F	180611200
13F	180647200
